,akiec,bcc,bkl,df,mel,nv,vasc
akiec,38,0,8,0,3,3,0
bcc,4,52,0,2,1,12,0
bkl,4,5,103,0,15,40,0
df,0,1,5,12,2,0,0
mel,2,0,15,3,82,65,0
nv,3,5,19,1,26,947,3
vasc,0,0,0,0,5,1,15
