Metric,Baseline,Oversampled,Improvement,Improvement_pp
Accuracy,0.8175765645805593,0.8315579227696405,0.013981358189081194,1.3981358189081194
Balanced Accuracy,0.6781880914195881,0.6897801191461885,0.011592027726600396,1.1592027726600396
Macro Precision,0.7103541311946271,0.7508294213766897,0.04047529018206264,4.047529018206264
Macro Recall,0.6781880914195881,0.6897801191461885,0.011592027726600396,1.1592027726600396
Macro F1,0.6914147304832444,0.7176540901398683,0.02623935965662383,2.623935965662383
Weighted F1,0.8113383761563422,0.8252473781821635,0.013909002025821349,1.3909002025821349
Macro ROC-AUC,0.959295049280366,0.9633154027331108,0.004020353452744763,0.40203534527447626
Weighted ROC-AUC,0.941696434118051,0.9453751950359672,0.0036787609179161906,0.36787609179161906
